,genre,artist,album,song,lyrics
10,Folk,Regina Spektor,Far ,Dance Anthem Of The 80s ,"You are so sweet
Dancing to the beat

There's a meat market down the street
The boys and the girls watch each other eat

You are so sweet, so sweet
Dancing and moving to that beat, that beat

There's a meat market down the street
The boys and girls watch each other eat
The boys and the girls watch each other eat
When they really just wanna watch each other

Sleep
They want to watch, to watch each other sleep, sleep, sleep
Sleep
They want to watch, to watch each other sleep, sleep, sleep

You are so sweet
Once more
You are so sweet
Solo

I'm walking through the city like a drunk but not
With my slip showing a little like a drunk but not
And I am one of your people but the cars don't stop
And I am one of your people but the cars don't stop

It's been a long time since before I've been touched
Now I'm getting touched all the time
And it's only a matter of whom
And it's only a matter of when

An addiction, two hands and feet
There's a meat market down the street
The boys and girls watch each other eat
When they really just wanna watch each other sleep

An addiction, two hands and feet
There's a meat market down the street
The boys and girls watch each other eat
When they really just wanna watch each other

Sleep
They want to watch, to watch each other sleep, sleep, sleep
Sleep
They want to watch, to watch each other sleep, sleep, sleep
They want to watch, to watch each other sleep, sleep, sleep
They want to watch, to watch each other sleep, sleep, sleep"
11,Folk,Regina Spektor,Far ,Folding Chair ,"Come and open up your folding chair next to me
My feet are buried in the sand and there's a breeze
There is a shadow, you can't see my eyes
And the sea is just a wetter version of the skies

Let's get a silver bullet trailer and have a baby boy
I'll safety pin his clothes all cool and you'll graffiti up his toys
I've got a perfect body but sometimes I forget
I've got a perfect body 'cause my eyelashes catch my sweat
Yes they do, they do

Ooh, ooh, ooh
Ooh, ooh, ooh
Ooh, ooh, ooh
Ooh, ooh, ooh

Ooh, ooh, ooh
Ooh, ooh, ooh
Ooh, ooh, ooh
Ooh, ooh, ooh

Now I've been sitting on this abandoned beach for years
Waiting for the salty water to cover up my ears
But every time the tide come in to take me home
I get scared, now I'm sitting here alone dreaming of the dolphin song

Ooh, ooh, ooh
Ooh, ooh, ooh
Ooh, ooh, ooh
Ooh, ooh, ooh

Ooh, ooh, ooh
Ooh, ooh, ooh
Ooh, ooh, ooh
Ooh, ooh, ooh

Maybe one day you will understand
That I want nothing from you but to sweetly hold your hand
Till that day just please don't be so down
Don't make frowns, you silly clown

Just come and open up your folding chair next to me
My feet are buried in the sand and there's a breeze
There is a shadow, you can't see my eyes
And the sea is just a wetter version of the skies

There is a shadow, you can't see my eyes
There is a shadow, you can't see my eyes"
12,Folk,Regina Spektor,Far ,Genius Next Door ,"Some said the local lake had been enchanted
Others said it must have been the weather
The neighbors were trying to keep it quiet
But I swear that I could hear the laughter

So they joke and they nicknamed it 'The porridge'
'Cause over night that lake had turned as thick as butter
But the local kids would still go swimming, drinking
Saying that to them it doesn't matter

If you just hold in your breath till you come back up in full
Hold in your breath till you've thought it through, you fool

The genius next door was bussing tables
Wiping clean the ketchup bottle labels
Getting high and mumbling German fables
Didn't care as long as he was able

To strip his clothes off by the dumpsters
At night while every one was sleeping
And wade midway into that porridge
Just him and the secret, he was keeping

If you just hold in your breath till you come back up in full
Hold in your breath till you've thought it through, you foolish child

In the morning the film crews start arriving
With donuts, coffee and reporters
The kids were waking up hung over
The neighbors were starting up their cars

The garbageman were emptying the dumpsters
Atheists were praying full of sarcasm
And the genius next door was sleeping
Dreaming that the antidote is orgasm

If you just hold in your breath till you come back up in full
Hold in your breath till you've thought it through, you foolish child"
13,Folk,Regina Spektor,Far ,Laughing With ,"No one laughs at God in a hospital
No one laughs at God in a war
No one's laughing at God
When they're starving or freezing or so very poor

No one laughs at God
When the doctor calls after some routine tests
No one's laughing at God
When it's gotten real late and their kid's not back from the party yet

No one laughs at God
When their airplane starts to uncontrollably shake
No one's laughing at God
When they see the one they love hand in hand with someone else
And they hope that they're mistaken

No one laughs at God
When the cops knock on their door
And they say we got some bad news, sir
No one's laughing at God
When there's a famine or fire or flood

But God could be funny
At a cocktail party when listening to a good God themed joke or
Or when the crazies say He hates us
And they get so red in the head you think they're 'bout to choke

God could be funny
When told he'll give you money if you just pray the right way
And when presented like a genie who does magic like Houdini
Or grants wishes like Jiminy Cricket and Santa Claus
God can be so hilarious

No one laughs at God in a hospital
No one laughs at God in a war
No one's laughing at God
When they've lost all they've got and they don't know what for

No one laughs at God
On the day they realize that the last sight they'll ever see
Is a pair of hateful eyes
No one's laughing at God
When they're saying their goodbyes

But God could be funny
At a cocktail party when listening to a good God themed joke or
Or when the crazies say He hates us
And they get so red in the head you think they're 'bout to choke

God could be funny
When told he'll give you money if you just pray the right way
And when presented like a genie who does magic like Houdini
Or grants wishes like Jiminy Cricket and Santa Claus
God can be so hilarious

No one laughs at God in a hospital
No one laughs at God in a war
No one laughs at God in a hospital
No one laughs at God in a war

No one laughing at God in a hospital
No one's laughing at God in a war
No one's laughing at God
When they're starving or freezing or so very poor

No one's laughing at God
No one's laughing at God
No one's laughing at God
We're all laughing with God"
14,Folk,Regina Spektor,Far ,Blue Lips ,"He stumbled into faith and thought, God this is all there is
The pictures in his mind arose and began to breathe
And all the Gods and all the worlds
Began colliding on a backdrop of blue

Blue lips, blue veins

He took a step but then felt tired, he said I'll rest a little while
But when he tried to walk again he wasn't a child
And all the people hurried fast, real fast
And no one ever smiled

Blue lips, blue veins
Blue, the color of our planet from far, far away
Blue lips, blue veins
Blue, the color of our planet from far, far away

He stumbled into faith and thought, God this is all there is
The pictures in his mind arose and began to breathe
And no one saw and no one heard, they just followed lead
The pictures in his mind awoke and began to breed

They started out, beneath the knowledge tree
And they chopped it down to make white picket fences
And marching along the railroad tracks
They smile real wide for the camera lenses
They made it past the enemy lines
Just to become enslaved in the assembly lines

Blue lips, blue veins
Blue, the color of our planet from far, far away
Blue lips, blue veins
Blue, the color of our planet from far, far away

Blue, the most human color
Blue, the most human color
Blue, the most human color

Blue lips, blue veins
Blue, the color of our planet from far, far away"
15,Folk,Regina Spektor,Far ,Eet ,"It's like forgetting the words to your favorite song
You can't believe it, you were always singing along
It was so easy and the words so sweet
You can't remember, you try to feel the beat

Eet, eet, eet
Eet, eet, eet

You spend half of your life trying to fall behind
You're using your headphones to drown out your mind
It was so easy and the words so sweet
You can't remember, you try to move your feet

Eet, eet, eet
Eet, eet, eet

Someone's deciding whether or not to steal
He opens a window just to feel the chill
He hears that outside a small boy just started to cry
'Cause it's his turn, but his brother won't let him try

It's like forgetting the words to your favorite song
You can't believe it, you were always singing along
It was so easy and the words so sweet
You can't remember, you try to move your feet

It was so easy and the words so sweet
You can't remember, you try to feel the beat"
16,Folk,Regina Spektor,Far ,Machine ,"My eyes are bifocal, my hands are sub jointed
I live in the future in my pre-war apartment
And I count all my blessings, I have friends in high places
And I'm upgraded daily, all my wires without traces

Hooked into machine, hooked into machine
Hooked into machine, I'm hooked into, hooked into
Hooked into machine, hooked into machine
Hooked into machine, I'm hooked into, hooked into machine

I collect my moments into a correspondence
With a mightier power who just lacks my perspectives
And who lacks my organics and who covets my defects
And I'm downloaded daily, I am part of a composite

Hooked into machine, hooked into machine
Hooked into machine, I'm hooked into, hooked into
Hooked into machine, hooked into machine
Hooked into machine, I'm hooked into, hooked into machine

Everything's provided, consummate consumer
Part of worldly taking, apart from worldly troubles
Living in your pre-war apartment, soon to be your post-war apartment
And you live in the future and the future, it's here, it's bright, it's now"
17,Folk,Regina Spektor,Far ,Human Of The Year ,"Hello, hello, calling a Carl Prejektorinski
To the front of the cathedral
You have won, dear Sir, may I congratulate you first?
Oh, what an honor

Human, human of the year, you are
Human, human of the year, you are

Why are you so scared?
You stand there shaking in the pew
The icons are whispering to you

They're just old men
Like on the benches in the park
Except their balding spots are glistening with gold

Human, human of the year, you are
Human, human of the year, you are

Ah, ah, ah, you have won
Hallelujah, hallelujah
Hallelujah, hallelujah

Outside the cars are beeping out a song
Just in your honor
And although they do not know it
All mankind are now your brothers

And thus the cathedral had spoken
Wishing well to all the sinners
And with a sigh grew silent
Until next year's big human winner

Outside the cars are beeping out a song
Just in your honor
And although they do not know it
All mankind are now your brothers
All mankind are now your brothers

Hallelujah, hallelujah
Hallelujah, hallelujah

Hello, hello, calling a Carl Prejektorinski
To the front of the cathedral
You have won"
18,Folk,Regina Spektor,Far ,Two Birds ,"Two birds on a wire
One tries to fly away and the other
Watches him close from that wire
He says he wants to as well but he is a liar

I'll believe it all
There's nothing I won't understand
I'll believe it all
I won't let go of your hand

Two birds on a wire
One says c'mon and the other says I'm tired
The sky is overcast and I'm sorry
One more or one less, nobody's worried

I'll believe it all
There's nothing I won't understand
I'll believe it all
I won't let go of your hand

Two birds of a feather
Say that they're always gonna stay together
But one's never going to let go of that wire
He says that he will but he's just a liar

Two birds on a wire
One tries to fly away and the other
Watches him close from that wire
He says he wants to as well but he is a liar

Two birds on a wire
Once tries to fly away and the other"
19,Folk,Regina Spektor,Far ,Dance Anthem of the 80's ,"You are so sweet
Dancing to that beat

There's a meat market down the street
The boys and the girls watch each other eat

You are so sweet, so sweet
Dancing and moving to that beat, that beat

There's a meat market down the street
The boys and girls watch each other eat
The boys and the girls watch each other eat
When they really just wanna watch each other
Sleep
They want to watch, to watch each other
Sleep, sleep sleep
Sleep
They want to watch, to watch each other
Sleep, sleep, sleep

You are so sweet (Once more)
You are so sweet (Solo!)

(vocalizations) Aah, aah, aah

I went walking through the city
Like a drunk, but not
With my slip showing a little
Like a drunk, but not
And I am one of your people
But the cars don't stop
And I am one of your people
But the cars don't stop
And it's been a long time since before I've been touched
Now I'm getting touched all the time
And it's only a matter of whom
And it's only a matter of when

An addiction to hands and feet
There's a meat market down the street
The boys and girls watch each other eat
When they really just wanna watch each other sleep
An addiction to hands and feet
There's a meat market down the street
The boys and girls watch each other eat
When they really just wanna watch each other

Sleep
They want to watch, to watch each other
Sleep, sleep, sleep
Sleep
They want to watch, to watch each other
Sleep, sleep, sleep


They want to watch, to watch each other
They want to be watched, they want to be washed
They want to be touched, to touch each other
They want to sleep, they want to be slept
They want to watch, to watch each other
They want to be watched, they want to be washed
They want to be touched, to touch each other
They want to sleep, they want to be slept
They want to watch, to watch each other
They want to be watched, they want to be washed
They want to be touched, to touch each other
They want to sleep, they want to be slept
They want to watch, to watch each other
They want to watch, they want to be watched
To watch each other, to watch each other
To watch each other...

Watch each other
Watch each other
Watch each other
Watch each other
Watch each other
Watch each other..."
20,Folk,The Swell Season,Strict Joy ,Low Rising ,"I wanna sit you down and talk
I wanna pull back the veils
And find out what it is I've done wrong
I wanna tear these curtains down
I want you to meet me somewhere
Tonight in this old tourist town
And we'll go

Low rising
'Cause we've gotta come up
We've gotta come up
Low rising
'Cause I fear we've had enough
Low rising
'Cause there's no further for us to fall
Low rising
Oh, for the love of you

I wanna take you to the rock
I wanna jump right in
And see what that big ocean's got
I wanna turn this thing around
I wanna drink with you
All night, till we both fall down
Till we go

Low rising
'Cause we've gotta come up
We've gotta come up
Low rising
'Cause there's no further for us to fall
Low rising
And I fear we've had enough
Low rising
Oh, for the love of you

Low rising
'Cause we've gotta come up
We've gotta come up
Low rising
And I fear we've had enough
Low rising
'Cause there's no further for us to fall
Low Rising
Oh, for the love of you

For the love of you

Low rising, low rising

I wanna sit you down and talk

I wanna sit you down and talk about it now"
21,Folk,The Swell Season,Strict Joy ,Fitzcarraldo (Live) ,"Here, back, down a long and straight track
I have chose the long road
That leads me out to god knows
So I can't stop right now

Even the good stars can fall from grace and falter
Lose their faith and slide
But I can't get an ocean that's deep enough

For my day, it's the first of the ascension
It's a sad way we've flown after the storm
And her last words were, ""I'm always thinking of you""
In my golden days I was a slave

Well now it's time for to sound your voice
And capture what you're after
My ship was sold right up the river
But I'm not going down here

This journey isn't over
It's a long way to the house of Fitzcarraldo
And her last words were, ""I was only thinking of you""
In my golden days I was a saint

Even the good stars can fall from grace and falter
Like lapdogs that stride that mystery
And her last words were, ""I'll see you down in history""
It's the only way that we can go

I shall eclipse you

It's a long way to Fitzcarraldo
And I don't want to pray for you"
22,Folk,The Swell Season,Strict Joy ,Lay Me Down (Live) ,"I will write you letters that
Explain the way I'm thinking now, I--
I will return to you
What I have taken long before, I--
I will return again
When it gets dark and day is done
And lay me down
In the hallowed ground
Down by your side I will stay
So lay me down

And if you wanna stay with me
Then let me know before it's light, I--
I will recoil myself
Into the black and darkest night
And lay me down
In the hallowed ground
Where my father waits, I will stay
So lay me down

And lay me down
In the hallowed ground
Down by your side I will stay
So lay me down"
23,Folk,The Swell Season,Strict Joy ,When Your Mind's Made Up ,"So if you want something and you call, call
Then I'll come running to fight and I'll be at your door
When there's something worth running for

When your mind's made up
When your mind's made up
There's no point trying to change it

When your mind's made up
When your mind's made up
There's no point trying to stop it

You see, you're just like everyone
When the shit falls all you want to do is run away and hide all by yourself
When you're far from me, there's nothing else

When your mind's made up
When your mind's made up
There's no point trying to change it

When your mind's made up
When your mind's made up
There's no point even talking

When your mind's made up
When your mind's made up
There's no point trying to fight it

So if you ever want something and you call, call
Then I'll come running"
24,Folk,The Swell Season,Strict Joy ,Somebody Good (Bonus Track) ,"I'm walking away
I knew that I would
I want to be missed by somebody good
Don't wanna come back
'Til I think that I should
To somebody good

I came here alone
To dig through the dirt
To find what was lost
To sift through the hurt
I wanna return
Do you think that I could
I want to belong to somebody good

I wanna return
I want to belong to somebody good"
25,Folk,The Swell Season,Strict Joy ,Falling Slowly ,"I don't know you
But I want you all the more for that
And words fall through me
And always fool me and I can't react

And games that never amount
To more than they're meant
Will play themselves out

Take this sinking boat and point it home
We've still got time
Raise your hopeful voice, you have a choice
You've made it now

Falling slowly, eyes that know me
And I can't go back
Moods that take me and erase me
And I'm painted black

You have suffered enough
And warred with yourself
It's time that you won

Take this sinking boat and point it home
We've still got time
Raise your hopeful voice, you had a choice
You've made it now

Take this sinking boat and point it home
We've still got time
Raise your hopeful voice, you had a choice
You've made it now

Falling slowly, sing your melody
I'll sing along"
26,Folk,The Swell Season,Strict Joy ,The Rain ,"Just before the rain came down
The sun came out at last
And as for all assumptions made
And questions never asked

I know we're not where I promised you we'd be by now
But maybe it's a question of who'd want it anyhow

Even now the rainbows seem closer to your hand
Doesn't know where to stop the measure of a man

Okay we're not what i promised you we would become
But maybe its a question of how much you really want

Had enough?
Had enough?
There's plenty more where that came from now

Feeling bored
Swallowed up
We got hours on you now

Just before the rain came down
The sun came out at last
And as for all assumptions made 
And questions never asked

Okay, I'm not what I promised you I would become
I know, we're not what I promised you we'd be by now

Had enough?
Had enough?
There plenty more where that came from now

Feeling bored
Swallowed up
We got hours on you now

Still on top
Crawling up
We got hours on you now"
27,Folk,The Swell Season,Strict Joy ,Back Broke ,"Back broke and dancing*
Cause you're here
Beside me
Cause you're here
Cause you're here
Here with me

Back broke and happy
Cause you're near
Cause you're near
Nearer to me

I came on your command
Don't give me false hope
I'm back by big demand
Don't give me false hope

Back broke and smiling
Cause it's clear
Cause it's clear
You still want me

I came on your command
Don't give me false hope
I came on your command
Don't give me false hope
We're back by big demand
Don't give us false hope

Back broke and crying
Cause it's near
Cause it's near
Our pardon"
28,Folk,The Swell Season,Strict Joy ,Two Tongues ,"What you give
Or give out
Is the only thing
That really counts

Will you stay?
Here, stay around
And we'll both start
Working this out

But it's not just this
It's everything
You're so hard to reach
And impossible to really read
When your talking with
Two tongues in your mouth
And I wish you'd quit this muttering
Beneath your breath
It's killing me
You've not said nothing yet

Who's talking now?
Well I guess I'm starting to doubt
Are we lost here?
Are you keeping count?
Are you just gonna let me down?

Well your heart's not in it
It's everywhere
It's plain to see
You're still wondering
What's underneath
You're so curious
It's two strikes and you're out
And I'm tiring of this attitude
How you fall to pieces
Like you do
I can't believe you're still talking
With two tongues in your mouth
After all we've been around

Will you hear me out?
You're the only thing
That really counts"
29,Folk,The Swell Season,Strict Joy ,Love That Conquers ,"In the time when your word was true
You gave your heart to the ones you knew
And at the dawn of every day
There was a light that you gave to me

You gave yourself to a love that conquers
Give everything to a love that conquers

And then you came and you came real close
You gave the heart what it wanted most
You took your time and you made it clear
Maybe time will erase some things

You ran away with a love that conquers
You ran away with a love that conquers

Too long in the shadows, too long in the dust
Give yourself to a love that conquers"
30,Folk,The Swell Season,Strict Joy ,I Have Loved You Wrong ,"Forgive me, lover, for I have sinned*
For I have done you wrong.
For I have hurt beyond repair, 
And when tears occurred no I didn’t care.
Forgive me, Lover, for I have sinned
For I have loved you wrong.

But this estranged organ in my chest
Still beats for you
It will not rest, so
Meet me in our secret place
When the time has come

Rest your head in my lap and I'll 
And I'll lead you out of your own trap
And I'll show you how much
You have missed through the
Time we weren't right

Ah...
Ah...

So forgive me, lover, for I have sinned
For I have let you go.

But you've been 
every now and then on my mind,
You’re every now and then on my mind (7x)

You’re on my mind, 
On my mind (7x)

[Acapella:]
On my mind. (7x)
External links"
31,Folk,The Swell Season,Strict Joy ,The Verb ,"What's the verb to cut it off
To take a knife and hack away at it
You keep saying, well that's the last time
You'll pretend to, stand aside no matter what we did
I'm not playing, all in all then just enough to
Keep us sliding back to where we were
I'm not waiting
That's the last time you'll get friends who
Will tell you that you walked away with it
When you barely scraped through

I'm tired of fighting she said
Your words just rattle my head
All joy escapes in the dark
And I can't make this make sense
Your words are lost to me now
I cannot take it I'm out
I'm stuck here kidding myself
You're out there caring somewhere

What's the verb to
Kick it off to
Take the time and walk away from it
I'm not playing,
That'll never sit with us well
We're far too pious to get out of it
And we're on our way

I'm tired of fighting she said
Your words just rattle my head
All joy escapes in the dark
And I can't make this make sense
Your words are lost to me now
I cannot take it I'm out
I'm stuck here killing myself
You're out there drinking somewhere

This time I've lost all my hope
I cannot take it no more
I'm stuck here killing myself
You're out there laughing somewhere

I'll tear my heart out no more
I'll burn this bridge till its gone
I'm stuck here killing myself
You're out there laughing somewhere
All joy is lost to me now
I cannot take it I'm out
I'm stuck here killing myself
And you're out there drinking somewhere
I'm stuck here killing myself

Running away won't change anything it only puts it off
Stand on the spot work out where you are and take it all from there
Running away won't change anything it only puts it off
Stand on the spot work out where you are and take it all from there
Running away won't change anything it only puts it off"
32,Folk,The Swell Season,Strict Joy ,High Horses ,"There's a light inside us all
It only shines as bright as we are
And you've fallen down so low
I'm really worried for you, I'm really worried

And even on our worst days
We were never quite like this
We've gone as far as we can go
Without crashing

At the heart in every fool is the hope you're stupid too
And there's this lingering, this lingering feeling
That I'm missing something
I feel like I'm missing something

And even at your worst, babe
You were never as bad as this
You've gone as far as you can go
Without dying"
33,Folk,The Swell Season,Strict Joy ,Paper Cup ,"Paper cup, ain't got no worries
Got no, got no dog in this fight

Paper plane take this note straight to her
If her heart's still in the fight

Maybe time will decide
The restless spirit can't survive
On breadcrumb trails no more

Paper saint will you hear her when she calls
You got no dog in this fight

Paper bird
Take this offering from her hands
This simple trail back to the light

Maybe time will provide
Give you the strength to decide
I hope it's not too late

Maybe time will decide
This restless spirit can't survive 
One breadcrumb trails no more

Maybe time will provide
Give you the strength to decide
You know it's not too late

Paper cup ain't got no worries
Got no, got no do in this fight"
34,Folk,The Swell Season,Strict Joy ,Fantasy Man ,"There's diamonds growing in the mountain
Beneath the pressure of all time
They grow in hope and expectation
Waiting for your hands to find
Cause only you could reach inside me
And figure out the worth
Of a life I lived providing
What it was you needed most

And if everything is measured by the hole it leaves behind
Then this mountain has been leveled
And there's no more diamonds in the mine
Go on now just leave it
The timing wasn't right
And the force that swept us both away
Was too strong for us to fight

Fantasy Man you are always one step ahead of me
Well I never heard the warning
I haven't got things right
Yet the sun came out this morning
And filled my room with light

So go on now, you are forgiven
Let's put it down to life
The story of two lovers
Who danced both edges of the knife

In the station you're standing
Not knowing what you want
And the secrets we're defending
Have become our only bond

Just be patient while I wait here
Our journey is out of sync
While you're out there running in the chaos
I need some time to think

Fantasy Man you are always one step ahead of me
Well I never heard the warnings
I haven't got things right
Yet the sun came out this morning 
And filled my room with light

So go on now, you are forgiven
Let's put it down to life
The story of two lovers
Who danced both edges of the knife"
