,artist,genre,lyrics,song
500,Twenty One Pilots,Rock,They say stay lane boy lane boy But go want They think thing highway highway But alive tomorrow They think thing highway If highway Wed tempo change every time change Cause minds change think good I raised hood But I know thing two pain darkness If music I know I wouldve fought Regardless songs Im hearing heartless Dont trust perfect person trust song thats flawless Honest theres songs record feel common Im constant confrontation I want poppin In industry seems singles radio currency My creativity free Im playin shows They say stay lane boy lane boy But go want They think thing highway highway But alive tomorrow Will alive tomorrow Im sorry question I asked last Scared bit like hazmat gas mask If ask Zack hes brother likes I rap fast But lets back track back Who would live die list But problem Theres another list exist one really wants think Forget sanity forget salary forget vanity morality If get someone I love Youre gonna feel heat calvary All songs Im hearing heartless Dont trust perfect person trust song thats flawless They say stay lane boy lane boy But go want They think thing highway highway But alive tomorrow They say stay lane boy lane boy But go want They think thing highway highway But alive tomorrow Will alive tomorrow Will alive tomorrow Will alive tomorrow Will alive tomorrow They say stay lane boy lane boy But go want They think thing highway highway But alive tomorrow They say stay lane boy lane boy But go want They think thing highway highway But alive tomorrow,Lane Boy 
501,Twenty One Pilots,Rock,I wanna stay sun I find I know hard sometimes Pieces peace suns peace mind I know hard sometimes Yeah I think end way much But fun fantasize On enemies wish I But fun fantasize Oh oh oh oh Oh oh oh oh Im fallin Im taking time riiiide Oh oh oh oh Im fallin Im taking time ride Takin time ride Id die you thats easy say We list people would take A bullet them bullet A bullet everybody room But I seem see many bullets coming See many bullets coming Metaphorically Im man But literally I know Id Id live you thats hard Even harder say know true Even harder write know thats lie There people back home tried talking But ignore still All questions theyre real like Who would live for Who would die for And Would ever kill Oh oh oh oh Oh oh oh oh Im fallin Im taking time riiiide Oh oh oh oh Im fallin Im taking time ride Takin time ride Ive thinking much Ive thinking much Ive thinking much Ive thinking much Help me Ive thinking much Ive thinking much Ive thinking much Help me Ive thinking much Ive thinking much Ive thinking much Oh oh oh oh Oh oh oh oh Im fallin Im taking time riiiide Oh oh oh oh Im fallin Im taking time Takin time riide Whoa oh oh Oh oh oh oh Oh oh oh oh Im fallin Im taking time riiiide Oh oh oh oh Im falling Im takin time my Ive thinking much Help me Ive thinking much Help me Ive thinking much Ive thinking much Ive thinking much Help me Ive thinking much Ive thinking much Ive thinking much Help me,Ride 
502,Twenty One Pilots,Rock,I wish I found better sounds ones ever heard I wish I better voice sang better words I wish I found chords order new I wish I rhyme every time I sang I told I get older fears would shrink But Im insecure I care people think My names Blurryface I care think My names Blurryface I care think Wish could turn back time good old days When momma sang us sleep were stressed Wish could turn back time good old days When momma sang us sleep were stressed Were stressed Sometimes certain smell take back I young How come Im never able identify coming from Id make candle it I ever found Try sell it never sell it Id probably sell one Itd brother cause nose clothes home grown stones throw creek used roam But would remind us nothing really mattered Out student loans tree house homes would take latter My names Blurryface I care think My names Blurryface I care think Wish could turn back time good old days When momma sang us sleep were stressed Wish could turn back time good old days When momma sang us sleep were stressed Used play pretend give different names would build rocket ship wed fly far away Used dream outer space theyre laughing face singing wake up need make money yeah Used play pretend give different names would build rocket ship wed fly far away Used dream outer space theyre laughing face singing wake up need make money yeah Wish could turn back time good old days When momma sang us sleep were stressed Wish could turn back time good old days When momma sang us sleep were stressed We used play pretend used play pretend money We used play pretend wake need money Used play pretend used play pretend money We used play pretend wake need money Used play pretend give different names would build rocket ship wed fly far away Used dream outer space theyre laughing face saying wake up need make money yeah,Stressed Out 
503,Twenty One Pilots,Rock,Yeah yeah yeah We believe whats TV Because want see And want know cant believe We learned kill dreams I need know That I fail Youll still Cause stick around Ill sing pretty sounds And well make money selling hair I care whats hair I wanna know whats mind I used say I wanna die Im old But I might think twice Yeah yeah yeah Yeah yeah yeah What dream happen Would I change Ive told friends Dont wanna know I would When I wake dreamers sleep I need know That I fail Youll still Cause stick around Ill sing pretty sounds And well make money selling hair But I care whats hair I wanna know whats mind I used say I wanna die Im old But I might think twice I care whats hair I wanna know whats mind I used say I wanna die Im old But I might think twice Yeah yeah yeah Oh Yeah yeah yeah Yeah yeah yeah Oh oh oh oh oh Yeah yeah yeah Oh oh oh oh oh Yeah yeah yeah Oh oh oh oh oh Yeah yeah yeah Oh oh oh oh oh Yeah yeah yeah Oh oh oh oh oh Yeah yeah yeah Oh oh oh oh oh Yeah yeah yeah Oh oh oh oh oh Yeah yeah yeah Oh oh oh oh oh Yeah yeah yeah,We Don't Believe What's on TV 
504,Twenty One Pilots,Rock,Theres infestation minds imagination I hope choke smoke cause Im smoking basement This rap hiphop Just another attempt make voices stop Rapping prove nothing writing say something Cause I wasnt one wasnt rushing say nothing This doesnt mean I lost dream Its right I got really crazy mind clean Gangsters dont cry Therefore therefore Im Mr Mistyeye therefore Im Can save Can save Can save heavy dirty soul Can save Can save Can save heavy dirty soul For me me oh Can save heavy dirty soul For me me oh Can save heavy dirty soul No I didnt understand thing said If I didnt know better I guess youre already dead Mindless zombies walking around limp hunch Saying stuff like you live once You got one time figure One time twist one time shout One time think I say start Sing know Im talking Gangsters dont cry Therefore therefore Im Mr Mistyeye therefore Im Can save Can save Can save heavy dirty soul Can save Can save Can save heavy dirty soul For me me oh Can save heavy dirty soul For me me oh Can save heavy dirty soul Death inspires like dog inspires rabbit Death inspires like dog inspires rabbit Can save Can save Can save heavy dirty soul Can save Can save Can save heavy dirty soul For me me oh Can save heavy dirty soul For me me oh Can save heavy dirty soul Can save Can save my save Can save heavy dirty soul Can save Can save my save Can save heavy dirty soul,Heavydirtysoul 
505,Twenty One Pilots,Rock,Na Na Na Na Oh Oh Na Na Na Na Oh Oh Na Na Na Na Oh Oh 1 When leader bad guys sang Something soft soaked pain I heard echo secret hideaway He mustve forgot close door As cranked dismal chords And four walls declared insane PreChorus I found way Right time wrong place As I pled case Youre judge Oh Set free Youre judge Oh Set free I know souls freezing Hells hot good reason So please take Na Na Na Na Oh Oh Na Na Na Na Oh Oh Na Na Na Na Oh Oh 2 Three lights lit But fourth ones I tell cause bit darker Than last nights bout I forgot drought Of light bulbs house So I head Down route I think heading south But Im good directions And I hide behind mouth Im pro imperfections And Im best friends doubt And minds And I hear clear loud Im thinking Wow I probably stayed inside house PreChorus Bridge x2 I know song Is surrender revel I know one Is devil Na Na Na Na Oh Oh Na Na Na Na Oh Oh Na Na Na Na Oh Oh Outro Youre judge Oh Set free Youre judge Oh Set free Youre judge Oh Set free Youre judge Oh Set free,The Judge 
506,Twenty One Pilots,Rock,Scared image Scared immaturity Scared ceiling Scared Ill die uncertainty Fear might death Fear leads anxiety Dont know whats inside Dont forget abbbbbout Dont forget abbbbbout Even I doubt Im good without you no Temperatures dropping Temperatures dropping Im sure I See ever stopping Shaking hands dark parts thoughts You Ive got Dont forget abbbbbout Dont forget abbbbbout Even I doubt Im good without you no Gnawing bishops Claw away system Repeating simple phrases Someone holy insisted Want mark hes made skin To mean something Hope left without Hope left without me please Dont forget abbbbbout Dont forget abbbbbout Even I doubt Im good without you Dont forget abbbbbout Dont forget abbbbbout Even I doubt Im good without you Hey Hey Dont forget me Hey Hey Dont forget me Hey Hey Dont forget me Hey Hey Dont forget me,Doubt 
507,Twenty One Pilots,Rock,1 Help polarize help polarize help Those stairs Ill hiding problems Help polarize help polarize help My friends I got lot problems 1 You know Im coming Though I running All feelings tonight tonight tonight oh PreChorus I wanted better brother better son Wanted better adversary evil I done I none show one I love But tonight tonight tonight oh 1 2 Polarize taking disguises Separating em splitting em wrong right Its deciding die deciding fight Tonight tonight tonight oh PreChorus 1 Bridge We problems We problems Breakdown Domingo en fuego I think I lost halo I know Youll come find Domingo en fuego I think I lost halo I know Youll come find me find Bridge We problems We problems Help polarize help polarize help My friends I problems Help polarize help polarize help My friends I problems 2 Help polarize help polarize help My friends I problems 4x Bridge Outro I wanted better brother better son 3x,Polarize 
508,Twenty One Pilots,Rock,1 We believe whats TV Because want see And want know cant believe We learned kill dreams PreChorus I need know That I fail still Cause stick around Ill sing pretty sounds And well make money selling hair I care whats hair I wanna know whats mind I used say I wanna die Im old But I might think twice 2 Alright second verse What dream happen Would I change Ive told friends Dont want know I would When I wake dreamers sleep PreChorus x2,We Don't Believe What's On T.V. 
509,Twenty One Pilots,Rock,No Yeah yeah yeah yeah yeah yeah The loser hides behind A mask disguise And I today Is worse times You know Ive done Im wanted run Im wanted run So Im taking moment live future Release present Im obsessing questions Why Im denial That tried suicidal session Please use discretion messing message man These lyrics everyone Only understand No Yeah yeah yeah yeah yeah yeah You know brain The way know name You know heart The way know face You know Ive done Im wanted run Im wanted run So Im taking moment live future Release present Im obsessing questions Why Im denial That tried suicidal session Please use discretion messing message man These lyrics everyone Only understand My people singing My people singing My people singing Hope dead cause could sleep time like this People rhyme like Were impressed They rip it flip triplets Wrote three minutes Three words line Its poetry divided Im kind guy Who takes every moment He knows fight And music use For others use Youre dead cause could sleep time like this Life comment When comments always become common Motivation promote shows next episode So brain knows keep going even though hope Is far moment But would know gets better When morning finally rears head Together well lose Remember future Remember morning night dead Release present Im obsessing questions Why Im denial That tried suicidal session Please use discretion messing message man These lyrics everyone Only understand Please use discretion messing message man These lyrics everyone Only understand My people singing My people singing My people singing,Message Man 
510,Twenty One Pilots,Rock,Hook A shadow tilts head Spirits dark waiting I let win go quietly I let win go quietly 1 Be one one To take soul make undone Be one one To take home show sun I know I know You bring fire I bring bones I know I know You make fire bones make grow Where were from theres sun Our hometowns dark Where were from were one Our hometowns dark Our hometowns dark Hook 2 Put away put away All gods father served today Put away put away Your traditions believe I say We know know How put back power soul We know know Where find bones Hook,Hometown 
511,Twenty One Pilots,Rock,1 I know I feel Im better staying room I born I look outside see whole world Better without trying transform Hook You mind oh You seeing side oh You waste time trying get But mind 2 Listen I know This ones contradiction happy sounds But lyrics Its okay though Because represents wait better yet Who I feel I right Hook Heard say not today Tore curtains down windows open make sound Heard voice theres choice Tore curtains down windows open make noise Bridge Dont test me Just I play piano Doesnt mean I Im willing take I Im mind oh Im seeing things right oh I waste time trying run But I Im mind Hook Outro Buh buh bah buh buh bah Bah bah bah bah bah bah bah bah bah bah Buh buh bah buh buh bah Bah bah bah bah bah bah bah bah bah bah Buh buh bah today Bah bah bah bah bah bah bah bah bah bah Buh buh bah buh buh bah Bah bah bah bah bah bah bah bah bah bah Ooh ooh ooh ooh ooh,Not Today 
512,Twenty One Pilots,Rock,1 x2 Im goner Somebody catch breath Im goner Somebody catch breath I wanna known I wanna known Hook Though Im weak And beaten Ill slip away sound The ghost close Im inside Youre underneath 2 Ive got two faces Blurrys one Im Ive got two faces Blurrys one Im I need help take I need help take Hook x2 Climax Dont let gone Dont let gone Dont let gone Dont let gone Dont let be Dont let be Oh yeah Hook,Goner 
513,Panic! At the Disco,Rock,Ohh A moment never remember And night never forget Ohh All sinners stand up sing hallelujah hallelujah Show praise body Stand up sing hallelujah hallelujah And cant stop shaking lean back Let move right ya hallelujah Say prayers Say prayers Say prayers Hallelujah My life started day I got caught Under covers With secondhand lovers Oh tied pretty young things In state emergency Who I trying Then time sad And miss like miss And blue better All sinners stand up sing hallelujah hallelujah Show praise body Stand up sing hallelujah hallelujah And cant stop shaking lean back Let move right ya hallelujah Say prayers Say prayers Say prayers Hallelujah I drunk mean thing Stop thinking The bullets mouth I love things hate Just finished daydream Who trying Then time sad And miss like miss And blue better No one wants heart Im sitting pretty brand new scars Youll never know ever try So lets try Lets try Lets try All sinners stand up sing hallelujah hallelujah Show praise body Stand up sing hallelujah hallelujah And cant stop shaking lean back Let move right ya hallelujah Say prayers Say prayers Say prayers Hallelujah All sinners stand up sing hallelujah hallelujah Show praise body Stand up sing hallelujah hallelujah And cant stop shaking lean back Let move right ya hallelujah Say prayers Say prayers Say prayers Hallelujah,Hallelujah 
514,Panic! At the Disco,Rock,Finders keepers losers weepers Welcome end eras Ice melted back life Done time served sentence Dress watch die If feels good tastes good It must mine Dynasty decapitated You might see ghost tonight And know know Im taking back crown Im dressed naked I see whats mine take Finders keepers losers weepers Oh yeah The crown So close I taste I see whats mine take Finders keepers losers weepers Oh yeah Sycophants velvet sofas Lavish mansions vintage wine I much Royal Snatch chain mace eyes If feels good tastes good It must mine Heroes always get remembered But know legends never die And know know Im taking back crown Im dressed naked I see whats mine take Finders keepers losers weepers Oh yeah The crown So close I taste I see whats mine take Finders keepers losers weepers Oh yeah Mortal kings ruling castles Welcome world fun Liars settle sockets Flip switch watch run Oh yeah Finders keepers losers weepers Im taking back back taking back back crown Im dressed naked I see whats mine take Finders keepers losers weepers Oh yeah The crown So close I taste I see whats mine take Finders keepers losers weepers Oh yeah Finders keepers losers weepers Finders keepers losers weepers,Emperor's New Clothes 
515,Panic! At the Disco,Rock,Tonight victorious Champagne pouring us All friends glorious Tonight victorious Oh oh oh oh victorious Oh oh oh oh Double bubble disco queen Headed guillotine Skin cool Steve McQueen Let killer king It hurts stops We love Im killing spree white Eyes like broken Christmas lights My touch black poisonous And nothing like punch drunk kiss I know need Do feel Drink water Drink wine Oh gotta turn crazy Livin like washed celebrity Shooting fireworks like fourth July Until feel right Until feel right Im like scarf trick Its sleeve I taste like magic Waves swallow quick deep Throw bait Catch shark Bleed water red Fifty words murder And Im every one My touch black poisonous And nothing like punch drunk kiss I know need Do feel Drink water Drink wine Oh gotta turn crazy Livin like washed celebrity Shooting fireworks like fourth July Tonight victorious Champagne pouring us All friends glorious Tonight victorious Tonight victorious Champagne pouring us All friends glorious Tonight victorious Oh gotta turn crazy Livin like washed celebrity Shooting fireworks like fourth July Until feel right Until feel right Tonight victorious Champagne pouring us All friends glorious Tonight victorious,Victorious 
516,Panic! At the Disco,Rock,You got two black eyes loving hard And black car matches blackest soul I change ya oh oh Wouldnt ever try make leave The neon coast sign And Midwest wind Pisces rising Wouldnt change ya oh oh Wouldnt ever try make leave Static palms melt vibe Midnight whisperings The black magic Mulholland Drive Swimming pools desert skies Drinking white wine blushing light Just another LA Devotee Sunsets evil eye Invisible Hollywood shine Always hunt little time Just another LA Devotee Just another another oh oh Just another another oh oh Just another another oh oh Just another LA Devotee You got bleached eyes valley sand And black tar palms keep weeping name I change ya oh oh Couldnt ever try make see The high rise lights read rights And downtown storm Aries rising Couldnt change ya oh oh Couldnt ever try make see Static palms melt vibe Midnight whisperings The black magic Mulholland Drive Swimming pools desert skies Drinking white wine blushing light Just another LA Devotee Sunsets evil eye Invisible Hollywood shine Always hunt little time Just another LA Devotee Just another another oh oh Just another another oh oh Just another another oh oh Just another LA Devotee LA Devotee LA Devotee LA Devotee LA Devotee The black magic Mulholland Drive Swimming pools desert skies Drinking white wine blushing light Just another LA Devotee Sunsets evil eye Invisible Hollywood shine Always hunt little time Just another LA Devotee Just another another oh oh Just another another oh oh Just another another oh oh Just another LA Devotee,LA Devotee 
517,Panic! At the Disco,Rock,Alright alright Alright alright Alright alright hell feeling though Its hell feeling though Alright alright hell feeling though Its hell feeling though Who people I woke underwear No liquor left shelf I probably introduce You shoulda seen I wore I cane party hat I king hologram Where theres thing getting hand Memories tend pop Drunk premeds rubber gloves Fivethousand people designer drugs Dont think Ill ever get enough Dont think Ill ever get enough Champagne cocaine gasoline And things I roam city shopping cart A pack camels smoke alarm This night heating Raise hell turn Saying If go might pass drain pipe Oh yeah Dont threaten good time Its hell feeling though Its hell feeling though Alright alright Its hell feeling though Its hell feeling though What footprints They look humanlike Now I wish I could find clothes Bedsheets morning rose I wanna wake Cant even tell dream How end neighbors pool Upsidedown perfect view Bar bar speed sound Fancy feet dancing town Lost mind wedding gown Dont think Ill ever get Dont think Ill ever get now Champagne cocaine gasoline And things I roam city shopping cart A pack camels smoke alarm This night heating Raise hell turn Saying If go might pass drain pipe Oh yeah Dont threaten good time Im scholar gentleman And I usually fall I try stand I lost bet guy Chiffon skirt But I make high heels work I told time time Im think drunk I And fell When sun came I think weve enough Alright alright hell feeling though Its hell feeling though Alright alright hell feeling though Its hell feeling though Champagne cocaine gasoline And things I roam city shopping cart A pack camels smoke alarm This night heating Raise hell turn Saying If go might pass drain pipe Oh yeah Dont threaten good time,Don't Threaten Me with a Good Time 
518,Panic! At the Disco,Rock,1 Do I look lonely I see shadows face People told I look Maybe I lost weight Im playing hooky best best Put heart chest see Refrain Im walking long road watching sky fall The lace dress tangles neck I live The death bachelor Letting water fall The death bachelor Seems fitting Happily ever How could I ask more A lifetime laughter At expense death bachelor 2 Im cutting mind It feels like heart going burst Alone table two I wanna served And think I best ever had Share one drink me smile even though sad Refrain Im walking long road watching sky fall The lace dress tangles neck I live x2 The death bachelor Letting water fall The death bachelor Seems fitting Happily ever How could I ask more A lifetime laughter At expense death bachelor,Death of a Bachelor 
519,Panic! At the Disco,Rock,Produced Brendon Urie Jake Sinclair Written Sam Hollander Jake Sinclair Brendon Urie Intro You set fire You set fire 1 She said night dreams You dance tightrope weird Oh I wake Youre normal disappear Youre straight like commuters With briefcases towing line Theres residue torture Inside eyes PreChorus She said like Mike Love But wanna Brian Wilson Brian Wilson She said like Mike Love But never Brian Wilson And I said Hey ay ay Hey ay crazy equals genius Hey ay ay Hey ay crazy equals genius Then Im fucking arsonist Im rocket scientist Hey ay ay If crazy equals genius PostChorus You set fire But never gonna burn burn burn You set fire But never gonna learn learn learn Hey 2 She said Darlin know How wine plays tricks tongue But seem change When stuff feelings drugs Other boys may dated Serrated heart slice But cut love never hurts Baby sweet butter knife PreChorus She said like Mike Love But wanna Brian Wilson Brian Wilson She said like Mike Love But never Dennis Wilson And I said Hey ay ay Hey ay crazy equals genius Hey ay ay Hey ay crazy equals genius Then Im fucking arsonist Im rocket scientist Hey ay ay If crazy equals genius PostChorus You set fire But never gonna burn burn burn You set fire But never gonna learn learn learn Hey Bridge You set fire You set fire You set fire You set fire And I said Hey ay ay Hey ay crazy equals genius Hey ay ay Hey ay crazy equals genius Then Im fucking arsonist Im rocket scientist Hey ay ay If crazy equals genius Outro You set fire But never gonna burn burn burn You set fire But never gonna learn learn learn Hey,Crazy=Genius 
520,Panic! At the Disco,Rock,Produced Brendon Urie Jake Sinclair Written Sam Hollander Jake Sinclair Brendon Urie 1 I found pile Polaroids In crates record shop They sexy sexy looking back From night time forgot Boy something debonair 1979 And Farrah Fawcett hair Carafes blood red wine PreChorus In summertime In summertime Oh wonder light begins fade And clock makes colors turn grey Forever younger Growing older All memories make never change Well stay drunk well stay tan let love remain And I swear Ill always paint Hook Golden days Golden days Golden days Golden days 2 I bet met diplomats Bianca Jaggers new yacht With caviar dead cigars The air sauna hot I bet never even thought The glitter dancing skin The decades mightve washed As flashes popped like pins PreChorus In summertime In summertime Oh wonder light begins fade And clock makes colors turn grey Forever younger Growing older All memories make never change Well stay drunk well stay tan let love remain And I swear Ill always paint Hook Golden days Golden days Golden days Golden days Bridge Time never break heart But itll take pain away Right futures certain I let fade away Hook Golden days Golden days Golden days Golden days Golden days Golden days Golden days Golden days,Golden Days 
521,Panic! At the Disco,Rock,Produced Brendon Urie Jake Sinclair Written Brendon Urie Jake Sinclair Intro Oh good bad dirty Oh good bad dirty 1 Truth always going end This symphony buzzing head Took market filth And sold like summer True good girls act good Til one wait turn Turn memory stone And carve shoulder Hey holy roller If wanna start fight You better throw first punch Make good one And ya wanna make night You better say name like The good bad dirty The good bad dirty The good bad dirty 2 I know like trade The ones love ones hate Dont think Ive ever used day education Theres two ways things go Good bad I know That friends hold grudges I got final judgement If wanna start fight You better throw first punch Make good one And ya wanna make night You better say name like The good bad dirty The good bad dirty The good bad dirty Bridge And gone long I forgot feel like But Im gonna think right Im gonna keep getting underneath Im gonna keep getting underneath And friends want us fall love If wanna start fight You better throw first punch Make good one And ya wanna make night You better say name like The good bad dirty The good bad dirty The good bad dirty,"The Good, the Bad and the Dirty "
522,Panic! At the Disco,Rock,Produced Jake Sinclair Brendon Urie Written Brendon Urie 1 If lover know The lonely moments get lonelier The longer love Than alone Memories turn daydreams Become taboo I want afraid The deeper I go It takes breath away Soft hearts electric souls Heart heart eyes eyes Is taboo Baby built house On memories Take picture Shake til see And fantasies Become legacy Promise place In house memories 2 I think time time More I thought I would You kind And I young know Thats really matters I fool Baby built house On memories Take picture Shake til see And fantasies Become legacy Promise place In house memories Breakdown Those thoughts Past lovers Theyll always haunt I wish I Could believe Youd never wrong Then Remember Me way As I remember Baby built house On memories Take picture Shake til see And fantasies Become legacy Promise place Baby built house On memories Take picture Shake til see And fantasies Become legacy Promise place In house memories In house memories Promise place,House of Memories 
523,Panic! At the Disco,Rock,Produced Jake Sinclair Brendon Urie Written Brendon Urie Jake Sinclair Sam Hollander Theres sunshine This impossible year Only black days sky grey And clouds full fear And storms full sorrow That disappear Just typhoons monsoons This impossible year Theres good times This impossible year Just beachfront bad blood And coast thats unclear All guests party Theyre insincere They intrude exclude This impossible year Theres This impossible year Only heartache heartbreak And gin made tears The bitter pill I swallow The scars souvenir That tattoo last bruise This impossible year Theres never air breathe Theres never inbetweens These nightmares always hang past dream Theres sunshine Theres Theres good times This impossible year,Impossible Year 
524,Metallica,Rock,Bitterness burden Curses rest thee Solitaire sorrow All eternity Save Earth claim perfection Deem mass blame rejection Hold pose fein perception Grudges break back All bear All carry All bear Place right Right Die suffer vain Own grief pain Die hold skies Atlas rise How feel own Bound world alone Crushed heavy skies Atlas rise Crucify witness Circling sun Bastardized ruin What become Blame world blame maker Wish em undertaker Crown savior So carry All bear All carry All bear Place right Right Die suffer vain Own grief pain Die hold skies Atlas rise How feel own Bound world alone Crushed heavy skies Crushed heavy skies Atlas rise Instrumental Masquerade maker Heavy crown Beaten broken Drama wears Overload martyr stumbles Hit ground Heaven crumbles All alone fear shall humble Swallow pride All bear All carry All bear Place right Right Die suffer vain Own grief pain Die hold skies Atlas rise How feel own Bound world alone Crushed heavy skies Crushed heavy skies Atlas rise,"Atlas, Rise! "
525,Metallica,Rock,When darkness falls may That see light When reaper calls may That walk straight right When doubt returns may That faith shall permeate scars When were seduced may That deviate cause All sinners future All saints past Beginning ending Return ash Now were dead dear We together Now were dead dear We live live forever When pain may Its weve ever known When flame consumes may It warms dying bones When loss won may Its Im madly fighting When kingdom comes may We walk right open door All sinners future All saints past Beginning ending Return ash Now were dead dear We together Now were dead dear We live live forever All sinners future All saints past Beginning ending Return ash Now were dead dear We together Now were dead dear We live live forever Return ashes shed skin Beyond black rise We shall live forever,Now That We're Dead 
